rank_diff;overall_diff;hard_diff;gs_diff;m1000_diff;deciding_diff;tiebreak_diff;after_win_diff;after_loss_diff;serve1_diff;serve2_diff;bp_saved_diff;bp_conv_diff;aces_diff;label
69.5;0.15799999999999997;0.22400000000000003;0.3;0.07100000000000001;0.11800000000000005;0.0;0.32099999999999995;0.0;-0.04999999999999716;-2.5899999999999963;14.099999999999994;0.0;-99.0;1
-69.5;-0.15799999999999997;-0.22400000000000003;-0.3;-0.07100000000000001;-0.11800000000000005;-0.0;-0.32099999999999995;-0.0;0.04999999999999716;2.5899999999999963;-14.099999999999994;-0.0;99.0;0
27.5;355;0.15800000000000003;0.32399999999999995;269;267;0.045499999999999985;0.09000000000000008;0.09199999999999997;2.3200000000000074;1.5300000000000011;1.8900000000000006;16.04;118.0;1
-27.5;-355;-0.15800000000000003;-0.32399999999999995;-269;-267;-0.045499999999999985;-0.09000000000000008;-0.09199999999999997;-2.3200000000000074;-1.5300000000000011;-1.8900000000000006;-16.04;-118.0;0
10.0;0.10799999999999998;0.09600000000000009;0.09099999999999997;0.19800000000000006;0.11099999999999999;0.04899999999999993;0.08700000000000008;-0.05399999999999999;0.6300000000000097;5.480000000000004;-0.4899999999999949;2.5799999999999983;106.0;1
-10.0;-0.10799999999999998;-0.09600000000000009;-0.09099999999999997;-0.19800000000000006;-0.11099999999999999;-0.04899999999999993;-0.08700000000000008;0.05399999999999999;-0.6300000000000097;-5.480000000000004;0.4899999999999949;-2.5799999999999983;-106.0;0
-21.5;-0.31700000000000006;-0.19699999999999995;0.07100000000000001;-0.16700000000000004;-0.09999999999999998;0.10449999999999998;-0.020000000000000018;-191;2.450000000000003;5.719999999999999;-1.2099999999999937;-22.15;-77.0;1
21.5;0.31700000000000006;0.19699999999999995;-0.07100000000000001;0.16700000000000004;0.09999999999999998;-0.10449999999999998;0.020000000000000018;191;-2.450000000000003;-5.719999999999999;1.2099999999999937;22.15;77.0;0
22.5;0.29400000000000004;0.30499999999999994;0.31000000000000005;0.0;0.1439999999999999;0.0;-0.0030000000000000027;0.65;0.0;0.0;0.0;0.0;25.0;1
-22.5;-0.29400000000000004;-0.30499999999999994;-0.31000000000000005;-0.0;-0.1439999999999999;-0.0;0.0030000000000000027;-0.65;-0.0;-0.0;-0.0;-0.0;-25.0;0
-29.5;183;-0.050000000000000044;0.05600000000000005;0.09000000000000002;0.0;-0.13749999999999996;0.11699999999999999;0.10400000000000001;8.419999999999987;-3.3100000000000023;6.050000000000011;2.210000000000001;143.0;1
29.5;-183;0.050000000000000044;-0.05600000000000005;-0.09000000000000002;-0.0;0.13749999999999996;-0.11699999999999999;-0.10400000000000001;-8.419999999999987;3.3100000000000023;-6.050000000000011;-2.210000000000001;-143.0;0
-6.5;-0.24699999999999994;-0.15400000000000003;-0.23800000000000004;-0.04500000000000004;0.07599999999999996;-0.10650000000000004;0.061999999999999944;-0.4;-6.409999999999997;-8.059999999999995;-3.1700000000000017;-1.990000000000002;-91.0;1
6.5;0.24699999999999994;0.15400000000000003;0.23800000000000004;0.04500000000000004;-0.07599999999999996;0.10650000000000004;-0.061999999999999944;0.4;6.409999999999997;8.059999999999995;3.1700000000000017;1.990000000000002;91.0;0
17.5;0.11699999999999999;0.061999999999999944;0.23299999999999998;0.07099999999999995;0.0;-0.0034999999999999476;0.0030000000000000027;0.17899999999999996;3.859999999999985;-0.8100000000000023;3.2900000000000063;-0.4299999999999997;91.0;1
-17.5;-0.11699999999999999;-0.061999999999999944;-0.23299999999999998;-0.07099999999999995;-0.0;0.0034999999999999476;-0.0030000000000000027;-0.17899999999999996;-3.859999999999985;0.8100000000000023;-3.2900000000000063;0.4299999999999997;-91.0;0
91.0;0.34500000000000003;421;0.22899999999999998;0.23800000000000004;62;-0.10449999999999998;0.34099999999999997;191;-0.3300000000000125;-5.169999999999995;16.22;8.259999999999998;82.0;1
-91.0;-0.34500000000000003;-421;-0.22899999999999998;-0.23800000000000004;-62;0.10449999999999998;-0.34099999999999997;-191;0.3300000000000125;5.169999999999995;-16.22;-8.259999999999998;-82.0;0
-8.5;-0.049000000000000044;-0.0030000000000000027;-0.19199999999999995;-0.10899999999999999;0.05600000000000005;0.06349999999999995;0.07999999999999996;-133;-2.1799999999999926;-1.1400000000000006;-3.8500000000000085;-0.4399999999999977;-132.0;1
8.5;0.049000000000000044;0.0030000000000000027;0.19199999999999995;0.10899999999999999;-0.05600000000000005;-0.06349999999999995;-0.07999999999999996;133;2.1799999999999926;1.1400000000000006;3.8500000000000085;0.4399999999999977;132.0;0
-0.0;-0.20800000000000002;0.0;0.0;-0.044999999999999984;0.0;0.0;0.0;-137;0.0;0.0;0.0;0.0;14.0;1
0.0;0.20800000000000002;-0.0;-0.0;0.044999999999999984;-0.0;-0.0;-0.0;137;-0.0;-0.0;-0.0;-0.0;-14.0;0
6.5;0.19399999999999995;126;0.06700000000000006;0.04500000000000004;-0.03200000000000003;0.10650000000000004;-0.04999999999999993;0.3;3.8699999999999903;5.809999999999995;-3.539999999999992;0.0;79.0;1
-6.5;-0.19399999999999995;-126;-0.06700000000000006;-0.04500000000000004;0.03200000000000003;-0.10650000000000004;0.04999999999999993;-0.3;-3.8699999999999903;-5.809999999999995;3.539999999999992;-0.0;-79.0;0
-29.5;-0.48000000000000004;-0.41100000000000003;-435;-0.45199999999999996;0.0;-0.3385;-0.11299999999999999;-0.1;-9.730000000000004;-6.969999999999999;-18.75;-0.8900000000000006;-170.0;1
29.5;0.48000000000000004;0.41100000000000003;435;0.45199999999999996;-0.0;0.3385;0.11299999999999999;0.1;9.730000000000004;6.969999999999999;18.75;0.8900000000000006;170.0;0
21.5;0.38300000000000006;0.19699999999999995;0.02899999999999997;0.16700000000000004;-0.05600000000000005;-0.10449999999999998;0.020000000000000018;266;-0.28000000000001535;-2.5799999999999983;2.1200000000000045;8.259999999999998;191.0;1
-21.5;-0.38300000000000006;-0.19699999999999995;-0.02899999999999997;-0.16700000000000004;0.05600000000000005;0.10449999999999998;-0.020000000000000018;-266;0.28000000000001535;2.5799999999999983;-2.1200000000000045;-8.259999999999998;-191.0;0
-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1;0.0;0.0;0.0;0.0;25.0;1
0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;0.1;-0.0;-0.0;-0.0;-0.0;-25.0;0
-24.0;-0.006000000000000005;-0.051000000000000045;0.12700000000000006;0.18800000000000006;0.15600000000000003;-0.13749999999999996;0.1459999999999999;-0.046999999999999986;8.419999999999987;-3.3100000000000023;6.050000000000011;2.210000000000001;146.0;1
24.0;0.006000000000000005;0.051000000000000045;-0.12700000000000006;-0.18800000000000006;-0.15600000000000003;0.13749999999999996;-0.1459999999999999;0.046999999999999986;-8.419999999999987;3.3100000000000023;-6.050000000000011;-2.210000000000001;-146.0;0
10.5;-0.02899999999999997;-0.04800000000000004;0.0;0.25;0.029000000000000026;0.0;0.11299999999999999;-0.017999999999999988;-0.6700000000000017;-1.0300000000000011;0.3400000000000034;5.189999999999998;-44.0;1
-10.5;0.02899999999999997;0.04800000000000004;-0.0;-0.25;-0.029000000000000026;-0.0;-0.11299999999999999;0.017999999999999988;0.6700000000000017;1.0300000000000011;-0.3400000000000034;-5.189999999999998;44.0;0
-19.5;-0.15100000000000002;-139;0.025000000000000022;-0.03300000000000003;-0.09099999999999997;-0.012500000000000067;-0.10000000000000009;-0.03999999999999998;-2.8999999999999915;0.05000000000000426;-6.359999999999999;0.9600000000000009;-173.0;1
19.5;0.15100000000000002;139;-0.025000000000000022;0.03300000000000003;0.09099999999999997;0.012500000000000067;0.10000000000000009;0.03999999999999998;2.8999999999999915;-0.05000000000000426;6.359999999999999;-0.9600000000000009;173.0;0
-0.0;0.02100000000000002;0.29000000000000004;0.3;192;-62;0.0;0.0;33;2.1699999999999875;3.1400000000000006;0.9100000000000108;-13.89;101.0;1
0.0;-0.02100000000000002;-0.29000000000000004;-0.3;-192;62;-0.0;-0.0;-33;-2.1699999999999875;-3.1400000000000006;-0.9100000000000108;13.89;-101.0;0
-13.5;0.0;0.03499999999999992;0.39999999999999997;-0.044999999999999984;-0.018000000000000016;0.0;129;0.05399999999999999;2.9499999999999886;1.8200000000000003;-6.559999999999995;-6.840000000000003;77.0;1
13.5;-0.0;-0.03499999999999992;-0.39999999999999997;0.044999999999999984;0.018000000000000016;-0.0;-129;-0.05399999999999999;-2.9499999999999886;-1.8200000000000003;6.559999999999995;6.840000000000003;-77.0;0
10.0;0.04300000000000004;0.12;-0.23800000000000004;0.04200000000000004;-0.22699999999999998;-0.07100000000000001;-0.06800000000000006;0.08300000000000002;-0.1700000000000017;-2.509999999999998;2.980000000000004;3.8699999999999974;49.0;1
-10.0;-0.04300000000000004;-0.12;0.23800000000000004;-0.04200000000000004;0.22699999999999998;0.07100000000000001;0.06800000000000006;-0.08300000000000002;0.1700000000000017;2.509999999999998;-2.980000000000004;-3.8699999999999974;-49.0;0
32.0;0.30300000000000005;0.22500000000000003;0.25;0.34700000000000003;0.30500000000000005;183;0.23299999999999998;0.26;5.329999999999998;-5.600000000000001;5.25;-17.08;201.0;1
-32.0;-0.30300000000000005;-0.22500000000000003;-0.25;-0.34700000000000003;-0.30500000000000005;-183;-0.23299999999999998;-0.26;-5.329999999999998;5.600000000000001;-5.25;17.08;-201.0;0
-0.0;0.03699999999999998;0.04700000000000004;-0.05600000000000005;0.09999999999999998;0.027000000000000024;-0.0035000000000000586;0.18499999999999994;-63;0.0;0.0;0.0;0.0;-22.0;1
0.0;-0.03699999999999998;-0.04700000000000004;0.05600000000000005;-0.09999999999999998;-0.027000000000000024;0.0035000000000000586;-0.18499999999999994;63;-0.0;-0.0;-0.0;-0.0;22.0;0
-56.0;-0.15799999999999997;-0.25899999999999995;-0.39999999999999997;-0.026000000000000023;-0.10000000000000003;0.0;-0.44999999999999996;0.04600000000000001;-2.8999999999999915;0.769999999999996;-7.539999999999999;6.840000000000003;31.0;1
56.0;0.15799999999999997;0.25899999999999995;0.39999999999999997;0.026000000000000023;0.10000000000000003;-0.0;0.44999999999999996;-0.04600000000000001;2.8999999999999915;-0.769999999999996;7.539999999999999;-6.840000000000003;-31.0;0
